Antibody,A_sasa,D_sasa,E_sasa,F_sasa,G_sasa,H_sasa,I_sasa,K_sasa,L_sasa,M_sasa,N_sasa,P_sasa,Q_sasa,R_sasa,S_sasa,T_sasa,V_sasa,W_sasa,Y_sasa
ADI-15596,3.14598207,2.85892447,2.23380626,0,10.26196692,0,0.83993618,5.08996351,3.24129698,0,0.69122974,3.48842751,2.50403686,3.00692701,9.49877722,8.54377452,2.39350956,0,1.42494455
ADI-15597,3.69478078,3.35126781,1.18981891,0.11662097,9.28835967,0,0.2930447,3.44230348,3.13730565,0,1.5198809,3.68183638,3.80827198,2.48624064,12.34776696,4.91551606,2.20159092,0.15320542,2.32077164
ADI-15600,0.48105062,3.55564925,3.65818663,1.08527878,8.9067464,0.15604725,0.37128582,3.13910917,1.99431553,0,1.56192599,3.99000698,3.37230852,4.64439418,11.7665898,3.72772448,2.21634018,0,1.62250838
ADI-15602,1.29006921,3.36827182,3.35049335,0.56040823,10.18860578,0,1.09867038,3.76622755,1.63892523,0,0.95501654,3.7914915,3.33315168,3.52461252,11.02790249,5.37220081,2.10951427,0.55862988,1.03786739
ADI-15603,1.83334636,4.0514726,2.5625754,0.13200283,9.56093071,0,1.01327458,2.36939844,1.83634829,0.46905506,0.64487576,4.70975697,4.08607221,4.70040589,10.80720118,4.94664883,2.46594047,0.60773165,1.07294409
ADI-15607,1.95145373,2.48716696,2.89081204,0,7.84188524,0.21079966,0.74957108,3.66507962,2.05372081,0,1.81237665,2.98646254,4.31101031,2.44109881,13.16567753,5.09796059,2.06320414,0,3.84172033
ADI-15609,3.14809548,2.74476335,3.35386962,0.35827017,7.06969333,0.44455343,0.47809498,4.05829238,1.92358913,0.91537075,2.41776896,3.07152889,2.74606805,3.18003373,12.55102683,3.86970744,2.64575135,0,2.52880224
ADI-15610,0.85413107,1.08894131,3.58441594,0.12130255,6.88406903,0,1.49785815,4.00586342,1.36224056,0,0.29223211,3.68155493,4.63066757,3.27128455,12.69638167,6.60439205,2.70957641,0,2.484552
ADI-15614,2.89831703,1.86458793,2.88630944,0.12081736,9.85926938,0,0.48943306,3.51133987,4.20145277,0,2.77302483,4.28761774,2.80363178,2.35708926,11.00816878,5.15276338,1.25576912,0,1.88926823
ADI-15615,3.21250519,3.57475341,2.307414,0.1098054,9.75447425,0,0.31887983,3.25275925,2.64486403,0,1.50438926,4.34414288,2.95025733,2.44631247,11.40737803,5.11592928,2.42441278,0.188904,2.39093141
ADI-15616,1.97930067,3.84169265,2.44420739,1.80649211,8.61021753,0.13084157,0,3.96226246,1.33569806,0,1.67537092,3.58835932,3.94290118,4.00286254,10.01998388,5.06182241,1.30055868,0.61050529,1.90083984
ADI-15619,4.41386139,2.8771602,2.53927847,1.05501514,6.98140625,0.49768478,0,2.96163972,1.3711139,0,2.19520895,3.26498353,4.04099167,3.05021308,12.39473925,5.6684505,1.68914946,0.78596741,1.54390263
ADI-15620,1.80528049,2.80421078,2.25288661,0.19007484,9.0213126,0.47595963,0.10388359,3.58944492,2.11549678,0.38222378,1.97272926,3.37582419,5.70130244,2.21564365,12.46912193,6.2484044,2.21386422,0.50311059,2.82015887
ADI-15621,1.34839476,1.86119034,3.35613282,0.71214048,8.12680794,0.56704906,1.422481,3.51450521,1.11640785,0.50791782,1.64328657,4.10956811,5.71295383,2.58267672,9.76114614,7.79522824,1.23667542,0.74922926,0.94221376
ADI-15622,2.2624604,3.7444887,1.70033295,1.07264503,8.57269784,0,1.16172543,3.62742299,1.79774725,0.23387314,1.84023632,2.35975398,5.24628688,2.6133061,13.57786036,4.37300213,3.58385644,0.53860943,0.46683044
ADI-15623,2.87001969,1.88876128,2.89614045,0.12224158,10.10839366,0,0.50095879,3.1029989,4.11914737,0,2.93511132,4.3965449,3.3542667,2.32530091,10.54707683,5.08660102,1.34631255,0,1.85546734
ADI-15624,3.79521972,2.79478368,1.84058196,0.38614127,9.03108677,0.34911484,0,3.54748571,2.48953136,0,2.29785585,3.78536529,3.4887395,2.39653324,13.03902897,5.00792329,1.61310939,0,2.23383171
ADI-15626,1.85223318,3.2629482,3.88008957,0.6069151,7.02158692,0,1.7360399,5.09495447,0.32441018,0.46403858,0.72733279,3.59409846,4.14646397,3.06589179,13.27282497,6.09578593,1.66931634,0.21256199,1.94183585
ADI-15628,2.45276339,3.1387653,1.68477302,0.96782639,9.19459449,0.74315944,0.53747694,3.9970082,1.57776105,0,3.40660063,4.15747008,3.07963872,1.58374614,13.25749115,3.63281161,2.44276555,0.16614023,2.82372391
ADI-15629,3.19481643,3.26454768,2.44644196,1.22446511,9.39250583,0,0.53373577,3.26907154,1.42674298,0,1.79130705,3.06003007,3.27378797,3.42333283,11.30502305,4.76892921,1.55841446,0.98312492,1.57093468
ADI-15630,1.98030154,4.56560152,1.76283638,0.89339699,8.13194651,0,1.71494173,4.84217745,2.26067227,0,2.53088422,2.80279369,4.03258405,2.15321356,10.67748895,4.20387088,1.43718144,0.5236628,1.93996919
ADI-15631,2.9479146,2.61278258,3.06254167,0.6983348,8.87873814,1.01743897,1.62319887,3.15157392,1.31673946,0,3.73696926,3.13729284,4.25091519,3.12296262,9.74972622,6.00079058,1.8164856,0.54467142,1.7024844
ADI-15634,2.42018432,0.73205635,4.04145313,0.77272544,7.88221193,0,1.05486796,3.51355459,0.17742451,0.3758091,1.0276432,5.31858724,4.71433361,2.90601259,11.41950758,6.11258941,2.09969992,0.20442738,2.19984004
ADI-15635,2.93693589,1.90319416,2.7832584,0.12139335,9.84746489,0,0.49739361,3.42375409,4.17121528,0,2.77824371,4.24190471,2.68548238,2.33816728,11.26897423,5.15229677,1.19963097,0,1.85314299
ADI-15636,2.2367555,1.94104316,2.97061306,1.05033663,7.76009433,0,1.1487772,4.67877543,1.38622916,0,0.35960231,3.77220887,4.07292604,2.93806151,12.82642992,5.3336432,2.41459757,0,1.16192054
ADI-15638,3.26917565,2.48302915,2.36172807,0.57500817,10.25157018,1.14568859,0.3014716,3.42318538,2.48279199,0,2.25093488,3.63188299,2.6563321,2.78002492,13.52023963,4.0148095,1.5806916,0,1.41452169
ADI-15640,1.08529275,4.10549121,1.08605193,0.37195114,8.05086827,0,0.21094391,5.19626295,1.5366943,0.18583363,1.40097277,3.71855933,4.42961712,2.22030436,10.69513435,7.31378428,2.49932792,0.12685474,2.28825325
ADI-15641,2.15434949,2.92843264,2.87815324,0.41025784,7.31984693,1.13018257,0.49380051,3.9312821,1.47993651,0,4.30628513,2.94378339,4.17720226,1.93449849,13.05197109,3.18523931,2.55212192,0,2.23447867
ADI-15642,1.08416869,2.75157396,3.26559476,0.68748559,9.92878432,0,0.70118765,4.64296478,1.29843217,0,1.80879989,3.46720386,3.51430684,2.70340051,14.13219533,3.9357294,2.24811351,0.52679485,1.74093806
ADI-15643,2.4693625,3.65229484,2.92681919,0.47930668,6.97419063,0.74674661,0.9142931,4.44963137,0.49171448,0.39927574,0.81862991,4.15497456,4.13436553,3.47060468,11.88824277,4.13567197,1.70896851,0.60657921,1.73183088
ADI-15644,1.74597746,2.62972913,2.21053957,0.80313914,7.44272951,0,1.57107705,5.41858511,0.88310823,0,0.37084087,3.18501452,5.27208952,2.87348147,12.46439243,5.52153566,1.85176376,0.18496372,1.63152858
ADI-15645,1.09332573,3.93282758,2.2819652,0.77768338,9.7398268,0.45209011,1.09443331,3.53747823,2.31442308,0,1.12028324,2.78588092,3.70574181,2.88394265,13.55402063,4.00068063,1.62537692,0.43186676,1.43418284
ADI-15647,2.72706855,2.42527501,3.93058682,0.14103588,7.94555627,0,1.84731389,2.5663011,1.57645323,0.12143792,1.24647862,3.59062593,4.34716483,3.77384893,10.98729285,6.33601805,1.92163634,0.77518392,1.9552973
ADI-15648,2.98919055,1.82647273,2.77243954,0.12567455,9.76384858,0,0.5029538,3.16858932,3.84317636,0,2.84875098,4.39184555,2.72021042,2.37127479,11.08133192,5.4291497,1.59873333,0,1.86885453
ADI-15650,1.00991001,3.30551352,3.08636552,0.59811234,9.50502419,0,0.79567825,3.78134002,1.20109066,0,1.39116462,3.47580363,3.89605871,3.04061532,14.33833695,4.00183616,2.10750133,0.37424221,1.85970065
ADI-15651,1.00519363,3.45904483,3.04130461,1.01295986,6.5285109,0.26103176,0.4547666,6.20157407,1.74935435,0.15765548,1.21222577,4.06231038,3.06697397,1.89287837,10.32096498,7.27741866,1.11106973,0.51373562,1.97485219
ADI-15652,2.43015572,3.10914985,2.58476877,0.93438259,9.37711884,0.74537567,0.53511966,3.89145362,1.9006306,0,3.42171945,2.9492345,3.06814592,1.5927649,13.99915553,3.73344367,1.94183002,0.16847481,2.85719208
ADI-15653,1.79226426,2.02148944,2.35448495,0,8.65538841,0.27323627,0.17487295,4.92144469,1.54603772,0,2.62377504,4.6972067,4.80132506,2.39769044,10.11954679,5.41021576,2.79943417,0.10295239,1.99982747
ADI-15655,2.34129729,2.92240528,4.50169757,0.2263227,9.03969482,0.87172439,0.54599508,2.99921945,2.1592094,0,2.2446728,4.1368078,3.42056168,3.28618784,11.4897617,3.55295271,2.68569216,0,2.64620002
ADI-15656,1.7509407,3.72513859,1.5809863,0,9.04725943,0.13949361,0.74288857,3.28727758,1.15701691,0.32633366,1.56462541,3.96782423,5.04417648,3.90230332,11.85339001,5.11958565,2.13816999,0.64612056,1.36371039
ADI-15657,1.99681606,2.46390362,3.38607106,0.3255613,7.65472686,0.2769783,1.17820777,4.01326766,0.62134587,0.13721239,0.43272758,4.75091065,5.46698986,3.20174228,11.13611258,6.75753414,2.47151026,0.98997021,1.55799748
ADI-15661,1.97654365,2.62559876,3.77034956,0.4521191,9.3642979,1.02907196,0.15634257,3.23390592,1.3776927,0,4.32872106,4.57144272,3.65713641,2.76738648,9.73800905,3.45848464,3.12630705,0.10291552,1.41781359
ADI-15662,2.64924144,1.69132311,2.99015912,0.14723252,7.37868555,0,0.94988987,4.73882597,0.78909568,0,1.41542049,5.53763319,4.08209326,2.77347669,13.46820253,6.19234477,1.18496688,0.22566946,1.71073873
ADI-15663,2.60468722,1.96877329,2.36184226,1.36812396,10.93819214,0,0.85035316,3.07051648,2.76723027,0,1.57669671,4.16050089,3.89483416,2.59569132,12.77677649,5.35170617,2.12472961,0,0.94575739
ADI-15664,3.78085629,1.59461879,3.78731191,0.78618448,7.66041132,0,1.5145272,3.54674162,0.17917053,0.39512112,1.43328191,4.28123448,4.00463386,2.6917092,11.29352766,5.92553251,2.8117342,0.21291588,2.17482456
ADI-15665,1.89781914,2.73650848,3.24886674,0.13290935,7.00779313,0.16003025,0.56523125,3.38575303,0.50543308,0.20882402,0.84981035,4.9314286,5.26163651,4.63101642,9.30645908,6.67479173,3.61734386,0.7261589,1.77087047
ADI-15666,2.54756279,1.84478693,3.11887893,0.59006271,4.63455208,0.18426182,0.46109276,2.9946242,2.15062876,0,3.67191513,3.76510516,5.34985884,3.75088812,12.08984744,6.77139682,0.94054688,0.71709414,2.52194043
ADI-15667,4.37306026,3.33908337,2.80709265,1.33500326,9.50841642,0.40832069,0.84594509,2.7454057,1.39336491,0,2.19802882,3.05718181,3.62256053,3.50162384,11.43856091,4.7225799,1.28567416,0.83107344,2.25008365
ADI-15731,1.28143531,2.38470602,2.78173573,1.02869316,8.24255822,0.60071972,0.45536445,5.15526286,1.75661849,0,0.61769376,3.01812695,4.17570507,3.85161932,12.48670476,5.7996882,1.7705222,0.42497074,1.55912563
ADI-15732,2.08208504,2.98995719,1.75260818,0.63433334,7.22865356,0,1.61195588,4.92754729,1.58852645,0,2.46391083,3.19041626,4.28068297,2.96182778,12.50369535,4.35786671,2.8342245,0.2045994,1.94546638
ADI-15733,1.90691724,2.73858098,2.53940073,0.76104768,7.93370382,0,1.11455918,4.34377787,2.57539998,0.66658432,1.86055805,2.86860542,2.68100497,2.9742587,13.55210092,4.42199217,1.08268853,0,1.9031152
ADI-15734,3.09959641,2.39199429,2.09741228,0,6.60823311,0.62664783,0.20491339,4.2826701,2.58243916,0.4662978,0.89298988,4.73606476,4.35024723,2.5946813,13.76947097,3.86353132,2.39758654,0.40576603,1.88779358
ADI-15735,1.03289246,2.82930769,3.14841547,0.7374623,8.15893337,0.83893883,3.19450803,6.1176517,2.39508587,0,1.05969288,3.45376403,2.82294481,2.9668199,11.38025358,4.56552446,1.3363779,0.10370716,1.73214524
ADI-15736,2.10883221,2.0575939,3.71809347,0.36063749,8.11326159,0.20873285,0.56198845,5.10692595,2.23324061,0.82808947,1.79417147,2.77749201,3.43113179,2.79553808,13.55953675,4.37481286,3.8938776,0,2.38530137
ADI-15737,2.99757733,1.31747657,3.32605742,1.01736689,8.52910221,0.37308193,1.77036233,4.26211273,2.41456042,0,1.04143541,2.65166056,3.52289459,4.71510325,9.29947184,5.11352544,3.32870187,0.41974998,1.2494683
ADI-15738,2.36414854,1.43048748,3.34905676,0.1067264,7.24791744,0,1.32581446,3.43866486,2.44239019,0,1.86256969,3.47544552,4.73815073,3.65671542,11.9011659,5.08032901,1.86026969,0.64271887,1.95483299
ADI-15739,1.38764063,2.12709619,2.76489284,0.14267434,8.42804019,0.44294685,1.02741616,4.49349986,2.7097097,0.11175505,0.76816704,3.07256072,6.46572387,2.55213687,12.99709941,4.45476913,3.29475756,0.22640976,1.37724879
ADI-15740,3.26339597,1.95059036,3.56398639,0.39215208,10.86796688,0,1.41004659,3.19164564,2.99537663,0,1.68529791,3.16067896,4.14867862,3.0905612,11.86794186,5.3040829,1.31748838,0.18990341,2.0129603
ADI-15741,2.61596909,1.17414227,2.90620352,0.35147064,7.98003108,0.30207914,0.48262032,4.3170619,2.28688353,0,1.38086569,5.34315213,4.32167893,3.02025767,13.01720587,4.67129362,3.20331235,0,1.32823865
ADI-15742,1.4626993,2.6933982,2.79556584,0.29176535,8.87185961,0.37699864,0.74328187,4.45668558,2.57765327,0,1.0947496,3.76038922,2.90975284,3.41512419,13.83394261,4.24017918,1.92723497,1.09655342,1.00945642
ADI-15743,2.15207678,1.71094275,3.16970383,0,7.3184598,0.66957331,0.20495108,4.39055849,2.21027567,0,1.62140081,4.40486788,4.60799352,3.48783748,13.3359173,4.55609933,1.61726006,0.40930927,1.19890718
ADI-15744,2.05687558,2.99901498,3.0330417,0,7.89926004,0.36208998,0.20728076,3.40621543,1.08512272,0.2587459,3.94159188,3.90253569,4.446507,4.15402385,9.64419889,6.03691316,2.63050461,0.19733374,2.20153398
ADI-15745,2.80530868,1.70830422,3.23830966,0.34249161,9.30328117,0,0.66372998,3.099288,1.45706761,0,1.97106581,3.30560296,4.07310153,3.68779811,11.52886255,5.52207055,2.08423677,0.33932186,1.21614445
ADI-15746,2.56731649,1.94109174,2.75736743,0.31230883,9.50503669,0,0.57675114,5.17327038,1.69317239,0.30175089,2.10288168,3.3526321,3.04831265,2.67279209,13.54386772,5.1782779,1.70128531,1.31047177,3.2438449
ADI-15747,1.9301348,2.98010596,3.56558598,0.26222488,10.13592354,0,1.04582142,3.3145784,1.70791052,0,1.07186401,3.99633038,3.07393752,4.64499238,12.62010554,5.02136854,1.13886968,0.55649971,0.75254576
ADI-15748,2.82781247,2.65038902,3.7308711,0.77438759,7.73253711,0,1.94149843,4.50561299,0.13652494,0.5649159,0.85529753,3.89577734,3.74913398,2.79198634,12.43148703,5.36608991,1.83718587,0.40114883,2.60870061
ADI-15749,2.4468154,1.68817676,1.54038008,0.5617907,5.29764896,1.40977542,0.94311638,5.31972461,1.5167389,0,0.68232369,3.48881525,4.51181664,2.24458547,14.15937963,6.38083858,2.4638725,0.61491512,1.33219961
ADI-15750,2.16026721,2.81516809,2.63379891,0.4757414,10.84949125,0,0,4.32331964,1.87389776,0,1.23662936,3.92606071,4.08123583,2.81652475,13.45253494,6.03671373,0.79479602,1.00293489,1.80397538
ADI-15751,1.8550693,2.69846912,2.40314633,0.32767269,9.59877424,0,0,2.31629512,2.55727783,0,1.85092823,4.11288342,4.25920432,3.96247638,13.60053168,4.48047617,0.78999546,1.11971215,2.17002853
ADI-15753,3.35413559,3.71757128,2.4198386,0.33724922,7.10893559,0,1.02370384,4.75736398,1.32935315,0.78932615,1.60755169,4.00186887,5.1254109,1.99816987,14.85165333,3.79838489,2.41658935,0.44012015,1.61133764
ADI-15754,3.0225446,1.73935107,2.95539471,0.25768113,8.44271031,0,0.48774048,3.29284347,1.86901733,0.28881186,1.60888632,3.80578586,4.07680559,3.99070309,10.54181115,4.94911455,1.77685859,0.64277319,1.16261662
ADI-15755,2.98260203,3.06999592,3.03152579,0.71174639,7.08348565,0.25905003,0.54559715,4.93940059,2.10640333,0.21402439,1.57463318,3.30762598,3.88890656,3.21274804,13.69818234,4.02490392,2.06766804,1.16604756,2.00986669
ADI-15756,0.64109477,3.01018873,2.36311088,0.83280159,7.67215468,0.27275873,1.99829075,4.26779041,0.80223953,0.24605364,2.02728784,3.02734625,6.6594269,2.98401006,11.83782359,5.32483269,2.87905262,0.15540567,2.30369324
ADI-15757,1.87151748,4.15977707,1.98756745,0,7.90154128,0,0.68797369,4.65404328,1.6036212,0,2.97688819,2.86176173,5.92326258,2.57956395,11.71780739,4.39387936,3.00168913,0.27811109,3.12973414
ADI-15759,1.34133841,2.51974503,2.28925305,0.19234648,7.48227445,0.62254852,0.62210358,5.38146268,1.58478209,0.36716114,0.62811867,3.11665107,6.25214235,2.46674628,14.54595353,5.74312174,2.17318778,1.24832827,1.31533231
ADI-15760,2.45365402,4.12342428,1.36213002,0,7.99621681,0,1.90145265,5.01463215,2.26387031,0.47539303,2.04794869,3.459659,5.25758987,2.99253849,10.67797288,4.92252815,2.00546637,0,2.35000549
ADI-15763,1.65704069,2.75406565,1.48082008,0.46105041,7.34546457,0,0.63897156,4.03183245,2.8134449,0,2.11580448,3.67786479,5.71802046,3.7130944,10.96814965,5.77847429,2.79754661,0,2.256211
ADI-15764,2.47900726,2.32691487,2.79246563,0.13191662,7.02317709,0,0.8309433,5.18045648,1.17527681,0,1.32484613,4.0111521,4.81303062,2.67012033,13.59973096,5.42005383,2.26397452,0.14422451,1.63292296
ADI-15766,0.80932653,2.69946982,3.65609622,1.01291297,7.29790147,0,1.40075368,4.23579165,0.64813558,0,0.37635178,4.04755564,4.8189276,3.62760045,12.02435945,4.59777591,2.12020661,0.37170719,1.58397498
ADI-15767,2.85293969,2.49887748,3.87740183,1.78039028,7.8933647,0,0.14547091,3.03630129,2.1656562,0,1.73453049,2.76387084,4.02657409,2.84828166,11.76470701,4.54311426,1.18661387,0.62843837,0.87096966
ADI-15768,1.54742348,2.75470093,4.56923363,0.20949731,10.03794188,0,1.17192154,4.58180439,1.44000782,1.0957521,0.94965124,4.16830482,2.58761168,2.92208186,13.71672953,6.86684142,1.17077538,0,1.88119123
ADI-15769,1.95762084,3.4166406,2.73846644,0.69445408,9.1783068,0,0.92642289,4.53829895,1.82160512,0.85213486,1.60193503,3.15284091,2.68380058,2.71772323,15.75945581,4.56174806,1.79482032,0.3644318,3.52634549
ADI-15772,1.36633076,2.95896611,1.88471623,0.18319839,7.59471659,0.43775011,0.36977737,4.43336641,1.5190911,0,1.99101113,4.87793421,6.02503293,2.6614728,10.55865633,6.20942577,2.45327258,0.20903454,2.20087586
ADI-15774,1.50992845,3.10014343,1.70460694,0.24851374,8.72268118,0.17970016,0.80864386,3.74727442,2.50050752,0,2.07685872,4.36920412,2.87158746,2.71628409,12.68761251,5.32884617,1.40173318,0,3.30159776
ADI-15775,1.07804884,1.86773909,2.36424192,1.43453795,7.25286256,0,2.04980835,4.33470216,1.75314737,0,0.57671286,3.22567482,4.99236522,2.71821631,12.98325972,5.66013588,1.88860416,0.31772457,1.1552981
ADI-15776,3.31812905,2.77258589,3.5463898,0,9.83763792,0.62053583,0.79095176,3.88993637,2.54562721,0.2044438,2.29424171,3.76505657,4.32449928,2.53136977,11.72180945,3.07031103,1.18976903,0,2.62090746
ADI-15777,1.59015098,3.86299099,2.42139327,0.71809094,8.13442515,0,0.3331963,4.16307321,1.24601796,0,0.36783854,4.14866998,5.7186966,2.18983509,13.49590735,4.84665414,2.40645965,0.4718634,2.1163378
ADI-15778,2.65190683,3.69301052,2.87474022,0.13347912,9.75387321,0,0.39699158,2.66917054,2.44981339,0,2.23690948,3.57612261,3.50470589,2.196635,13.33092628,4.22665685,2.0897245,0.10364236,2.11844756
ADI-15780,1.52990188,2.15657692,2.48828358,0,7.15199359,0.66230286,0.28620501,4.64597698,1.31445975,0.18750168,2.56742053,4.65167576,6.03685892,2.5219579,10.21506464,5.04334973,2.52205777,0.27637609,2.81199594
ADI-15781,1.7416581,2.23345956,1.98384499,0.5070504,6.7620893,0.56846018,1.07207172,5.05334517,0.69458931,0.56091802,1.00647223,3.55942505,3.94546047,2.21117196,14.72120287,3.35689257,2.21399709,0.19949255,3.17155081
ADI-15783,2.14619308,2.58558543,3.60035385,0,6.67373536,0.65639832,0.73180685,4.96584569,2.54670071,0,1.74548023,3.49278571,4.41725372,2.21208587,13.99192778,4.43205229,1.18378213,0.73496196,1.47923046
ADI-15784,1.97787555,3.03449077,2.22099463,0,7.3250647,0.60438713,0.29229424,4.31949112,1.08807972,0,1.71419437,4.94281869,5.79140147,2.80004878,10.53371737,5.26636968,2.67076862,0.16181799,2.37357597
ADI-15785,2.06566434,4.38706673,3.43855707,0.13021826,7.89987383,0,2.68207755,4.48400602,1.59673807,0.33158653,2.35180037,2.56224778,3.72279008,3.09668832,11.83325579,4.04770509,3.33293962,0,2.81692286
ADI-15786,2.68080576,2.71346427,1.5165493,0.1570472,10.01704951,0.50581101,0.13475909,4.05048207,2.63038631,0,2.39251994,3.26760126,5.12382795,2.29016544,13.97572315,4.52617472,1.60178716,0.12597782,2.90985134
ADI-15787,2.22626434,1.84432583,3.19259184,0.21273666,8.89519339,0,0.93679543,4.38452911,2.56087632,0.34986248,0.8389835,4.1042577,3.11055228,3.40224494,12.0067676,4.37996525,2.13754264,0.11207438,2.19612771
ADI-15788,1.34721712,2.84151188,3.28359481,0.52687272,7.57867188,0,1.61253455,4.40777149,0.74405493,0.17285912,0.93552109,3.66508454,4.55603834,4.10740589,11.05422587,5.9571397,1.98193096,0,2.08270077
ADI-15789,2.68177683,1.63178577,4.1566001,0.85588436,7.73692595,0,0.65378322,3.79918216,2.42145938,0,1.16870116,3.57069866,4.63886482,4.80537629,10.79892932,5.21766165,2.17149502,0.49998661,1.07790584
ADI-15791,2.47015479,2.54387601,3.18297425,1.08933072,8.16521216,0.11172341,1.39599053,4.70169401,1.76436029,0,2.21342847,3.1521948,2.75926761,3.32617897,12.53862902,6.15458433,2.73580336,0.20169806,2.33076977
ADI-15793,2.4157214,3.09933782,2.03513921,0.11644905,6.33647744,0.499182,1.26874141,4.06221644,1.8007828,0,0.79606315,4.17987427,4.69075337,2.93961704,14.00572521,5.9881981,1.37056126,0.52749082,2.18428015
ADI-15794,1.0320083,1.60192786,3.66993346,0.9889368,9.07461424,0.1296174,0.97678937,3.33012931,1.63081185,0,1.34868377,3.40515046,5.50071653,3.70388209,12.34247304,4.62767976,2.00139682,0,2.0240324
ADI-15796,2.86738444,4.07397127,3.02572852,0.64087142,8.4838922,0.23584324,1.10304798,4.57507475,2.67185444,0,2.32144832,3.32346515,3.27295415,2.35457586,13.4705824,5.58093768,2.42824561,0.33279518,1.63026779
ADI-15797,2.06937571,2.90459834,2.54203569,1.075625,8.37604217,0,0.98081978,3.28945469,1.22934746,0.26567221,1.07336111,3.38029186,6.08207391,3.38887173,10.38649169,8.03436174,2.38151753,0.44583523,2.05876655
ADI-15800,2.74380797,1.27985964,3.96614217,0.70943724,8.4830847,0,0.94588409,3.08773075,0.88171839,0.37506268,1.74422416,3.12756662,3.72767107,3.18644016,11.60521867,5.52096339,2.50170514,0.31940115,2.80814776
ADI-15801,2.01946509,1.59769978,2.7946665,0.30520609,8.51314459,0,0.62308594,4.29262283,0.62518462,0,0.30975496,4.58097728,4.08538303,3.27073582,14.58766028,7.05614011,1.47825294,0.79909523,2.4238951
ADI-15803,1.09452622,2.31373496,3.52286151,0.93696169,8.98619243,0,0.79980002,3.75214189,2.31240741,0.13431767,0.91917687,2.35339924,3.63417931,3.76800472,13.11943823,5.59371476,2.05637518,0.39376759,1.33659152
ADI-15804,1.40392635,2.76431154,3.31414724,0.40385807,8.49592002,0,1.25377788,4.02053886,1.98088063,0,0.98408797,3.85347,5.98794897,2.19909447,12.05125766,4.48609882,2.72496646,0,2.05581224
ADI-15805,1.73225171,1.83535478,1.97081182,0.81557077,8.67390575,0,0.61936249,5.91436878,0.6437376,0,1.82277666,3.4410681,3.97172802,3.02571568,13.87559093,5.09651669,2.04439685,0.19585058,2.54160261
ADI-15807,2.54956656,2.19610733,2.34810046,0,8.82682217,0.15288568,0.44249535,4.16899656,2.01838275,0.21952503,2.02708179,3.5894051,5.0356298,1.45368031,13.89323923,6.28645579,3.21612558,0.5398237,0.87901126
ADI-15808,1.9447864,3.40051848,2.8830782,0.1005101,9.19383381,0.28881905,0.45699213,3.81546245,1.48762644,0,1.54958505,3.93860285,4.76515483,3.64258961,13.86786468,3.56695536,2.1294937,0.17294788,3.22324109
ADI-15810,1.57097831,3.18537994,3.1612149,0.38025455,8.70282056,0,0.95346658,4.64982504,1.00049049,0.28903227,0.88679605,4.23047522,5.70402978,3.02188201,12.88113747,4.40631714,2.2478936,0,2.84793012
ADI-15811,2.71820768,2.91515573,2.77115169,0.13306922,7.99709963,0,0.49924511,4.3933838,1.1404311,0,2.10806227,3.6284056,3.53956204,3.23407614,13.18638304,4.21616694,2.72908931,0,1.89372768
ADI-15812,2.81588826,2.41251475,2.10902275,0,8.45237676,0.25662315,0.11736639,4.69199619,1.67185177,0,1.281355,4.0445158,4.15407284,1.95535479,15.58191581,5.05234227,1.43166464,0.24203194,2.79019953
ADI-15813,1.80722744,1.74823186,4.04584116,0.12825458,8.43390883,0.57923176,0.77718332,3.53235171,1.09635645,0,3.52929846,2.95368917,4.53983231,2.80969093,10.19596552,4.82638794,2.4237158,0.49539738,2.483499
ADI-15814,2.19497954,2.44464707,1.95554662,0.19749548,10.15864263,0,0.20802361,4.31648893,2.33067392,0,1.76804906,4.2395774,3.98840824,2.13895895,12.37759693,5.7325479,2.38567082,0.28020382,1.06791297
ADI-15816,2.7216057,3.71807246,4.13009308,0.24569177,7.94892875,0,0.25765478,5.43166031,2.28594744,0,2.07690464,2.34113457,4.02447083,2.78029414,11.79821148,3.37003986,1.8024204,0.29653548,2.48565508
ADI-15817,1.50054688,3.18234506,2.43268987,0.33868501,7.40548352,0,1.11196415,3.76879037,1.14335136,0,2.50482899,4.38804551,4.84362552,4.12545772,11.09693645,6.58386295,2.26434439,0,3.28332009
ADI-15819,1.75674581,2.68264038,2.40976647,0.80731846,7.25542544,0,1.59302841,4.71216267,1.56809007,0,1.75108107,3.1869181,4.41830103,3.69331639,12.62931113,3.84837597,2.92155112,0.15002335,1.77653308
ADI-15820,2.74464025,1.61369673,2.29150891,0,6.56967618,0.34050079,1.02205202,4.44750152,1.28392147,0,1.62075144,5.55529883,4.3221642,3.62892336,14.50379531,5.29073698,0.64801464,0.78560814,2.40986368
ADI-15821,3.29651869,3.16927866,2.91504915,0.10365673,7.40458882,0.29567892,1.95672901,4.81112571,2.32444884,0,1.93727353,3.0145947,3.24091889,3.59538962,11.12521494,3.94184627,2.46224181,0.12073393,1.93229088
ADI-15822,1.14261028,2.95052101,1.22240895,0.59469428,8.31912079,0,0.99789708,5.14310076,0.84694269,0,2.79061936,5.10540344,4.88344395,2.06483356,13.80673784,5.15597728,2.28799857,0.8950671,1.64270979
ADI-15823,1.73478861,2.80018619,3.1754724,0.27054046,7.94119169,0,2.22707154,3.71778543,1.68162593,0.8865934,2.01114425,3.24808336,3.09998284,3.28567998,13.05967694,4.17600041,2.54746954,0,2.2121378
